Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2014,BROWN SHRIMP,CALCASIEU RIVER BASIN,"1,292,610",2083119,"1,519"
2014,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"5,039,908",9794541,"4,009"
2014,BROWN SHRIMP,LOUISIANA GRID 13,"2,282,222",5220392,602
2014,BROWN SHRIMP,LOUISIANA GRID 14,"2,857,534",6979067,343
2014,BROWN SHRIMP,LOUISIANA GRID 15,"2,267,574",5809331,261
2014,BROWN SHRIMP,LOUISIANA GRID 16,,,
2014,BROWN SHRIMP,LOUISIANA GRID 17,,,
2014,BROWN SHRIMP,MERMENTAU RIVER BASIN,"6,382",15440,15
2014,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"1,965,035",4170850,713
2014,BROWN SHRIMP,SABINE RIVER BASIN,,,
2014,BROWN SHRIMP,TERREBONNE BASIN,"11,447,215",22978908,"9,821"
2002,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"589,786",1198512,987
2002,OYSTERS,BARATARIA BASIN,"916,599",2265436,"8,474"
2002,OYSTERS,CALCASIEU RIVER BASIN,"131,069",278464,"2,141"
2002,OYSTERS,LAKE PONTCHARTRAIN BASIN,"10,832,155",24064414,"22,186"
2002,OYSTERS,TERREBONNE BASIN,"1,494,369",2525325,"5,864"
2003,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"267,224",482228,580
2003,OYSTERS,BARATARIA BASIN,"3,102,368",8029893,"8,978"
2003,OYSTERS,CALCASIEU RIVER BASIN,"145,064",327016,"2,379"
2003,OYSTERS,LAKE PONTCHARTRAIN BASIN,"7,441,784",19487675,"9,111"
2003,OYSTERS,TERREBONNE BASIN,"2,580,864",4855389,"9,107"
2004,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"336,550",710834,644
2004,OYSTERS,BARATARIA BASIN,"4,116,410",10528364,"12,001"
2004,OYSTERS,CALCASIEU RIVER BASIN,"167,237",415661,"2,341"
2004,OYSTERS,LAKE PONTCHARTRAIN BASIN,"6,890,647",18722396,"17,519"
2004,OYSTERS,TERREBONNE BASIN,"2,353,369",4424326,"9,719"
2005,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"614,145",1635206,964
2005,OYSTERS,BARATARIA BASIN,"3,039,784",8574991,"9,102"
2005,OYSTERS,CALCASIEU RIVER BASIN,"284,065",705846,"3,235"
2005,OYSTERS,LAKE PONTCHARTRAIN BASIN,"5,523,737",16586520,"13,206"
2005,OYSTERS,TERREBONNE BASIN,"2,636,153",5820315,"10,406"
2006,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"1,709,432",5194015,"3,041"
2006,OYSTERS,BARATARIA BASIN,"2,440,403",8414924,"6,233"
2006,OYSTERS,CALCASIEU RIVER BASIN,"282,124",837130,"2,878"
2006,OYSTERS,LAKE PONTCHARTRAIN BASIN,"4,601,529",15795983,"10,501"
2006,OYSTERS,TERREBONNE BASIN,"2,531,724",6202234,"1,233"
2007,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"1,593,415",4401983,"3,012"
2007,OYSTERS,BARATARIA BASIN,"2,485,344",8704912,"7,523"
2007,OYSTERS,CALCASIEU RIVER BASIN,"299,846",975587,"3,584"
2007,OYSTERS,LAKE PONTCHARTRAIN BASIN,"5,738,890",19101579,"12,795"
2007,OYSTERS,TERREBONNE BASIN,"2,691,449",6790579,"9,633"
2008,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"403,631",1113392,636
2008,OYSTERS,BARATARIA BASIN,"2,090,687",6922831,"5,305"
2008,OYSTERS,CALCASIEU RIVER BASIN,"412,074",1229843,"4,557"
2008,OYSTERS,LAKE PONTCHARTRAIN BASIN,"8,156,664",25737361,"15,834"
2008,OYSTERS,TERREBONNE BASIN,"2,172,319",5242560,"7,437"
2009,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"3,144",8233,9
2009,OYSTERS,BARATARIA BASIN,"3,714,735",13378176,"9,842"
2009,OYSTERS,CALCASIEU RIVER BASIN,"690,689",2188265,"7,353"
2009,OYSTERS,LAKE PONTCHARTRAIN BASIN,"8,206,111",29245004,"18,111"
2009,OYSTERS,TERREBONNE BASIN,"2,348,681",5980503,"9,116"
2010,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"334,907",1059995,545
2010,OYSTERS,BARATARIA BASIN,"1,184,874",4575276,"3,376"
2010,OYSTERS,CALCASIEU RIVER BASIN,"995,267",3694116,"11,665"
2010,OYSTERS,LAKE PONTCHARTRAIN BASIN,"2,575,299",10596741,"7,102"
2010,OYSTERS,TERREBONNE BASIN,"1,763,496",4978248,"6,601"
2011,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"345,058",1210452,"2,137"
2011,OYSTERS,BARATARIA BASIN,"3,381,652",14667009,"8,834"
2011,OYSTERS,CALCASIEU RIVER BASIN,"606,013",2498599,"9,973"
2011,OYSTERS,LAKE PONTCHARTRAIN BASIN,"2,396,262",10820574,"6,480"
2011,OYSTERS,TERREBONNE BASIN,"4,407,924",12522579,"12,437"
2012,OYSTERS,ATCHAFALAYA/VERMILION-TECH BASIN,"759,720",2639484,"1,505"
2012,OYSTERS,BARATARIA BASIN,"3,946,519",18016661,"10,149"
2012,OYSTERS,CALCASIEU RIVER BASIN,"181,189",785158,"2,937"
2012,OYSTERS,LAKE PONTCHARTRAIN BASIN,"1,848,188",7736297,"5,188"
2012,OYSTERS,LOUISIANA GRID 13,977,7175,40
2012,OYSTERS,LOUISIANA GRID 14,"17,450",62806,66
